Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.006067,0.117968,0.053743,0.003630,0.005307,0.016504,0.796782,0.103826,0.501956,0.093108,0.029970,0.053307,0.217833,0.014219,0.639470,0.346310,-1.891371e-02,-7.145749e-02,159_b_a.wav
0.001301,0.004173,0.342038,0.000152,0.000560,0.000383,0.651394,0.172316,0.486489,0.164847,0.029584,0.083140,0.063624,0.017049,0.972992,0.009959,1.030082e-01,3.541977e-02,159_c_a.wav
0.001069,0.000300,0.098110,0.000052,0.000481,0.000034,0.899953,0.137742,0.499750,0.125630,0.032963,0.088361,0.115554,0.009049,0.528320,0.462630,1.151428e-01,7.033629e-02,15_a_q.wav
0.000048,0.000052,0.010680,0.000003,0.000006,0.000003,0.989208,0.126700,0.450245,0.155570,0.071162,0.092996,0.103327,0.050994,0.795168,0.153837,2.491220e-02,1.809579e-01,160_a_q.wav
0.005202,0.072253,0.023321,0.002111,0.002775,0.007851,0.886487,0.066456,0.527408,0.064715,0.032434,0.043596,0.265391,0.015539,0.876571,0.107890,-1.566442e-01,-1.834784e-02,160_b_q.wav
0.000001,0.000001,0.001130,0.000000,0.000000,0.000000,0.998869,0.061681,0.179653,0.335023,0.111736,0.216934,0.094973,0.107030,0.803889,0.089081,1.319348e-01,3.310359e-01,161_a_q.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.066719,0.170733,0.449536,0.087096,0.120890,0.105026,0.064161,0.924243,0.011596,2.881392e-01,4.344007e-01,162_a_a.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.028806,0.028345,0.777584,0.078865,0.051437,0.034963,0.069034,0.917935,0.013032,3.083526e-01,4.553315e-01,162_b_a.wav
0.000215,0.000177,0.019968,0.000014,0.000043,0.000012,0.979571,0.098107,0.391840,0.141923,0.044943,0.079375,0.243812,0.012344,0.767985,0.219671,5.997589e-02,2.113214e-01,162_c_a.wav
0.000386,0.000014,0.027941,0.000015,0.000127,0.000004,0.971513,0.124094,0.360318,0.226058,0.040876,0.116686,0.131969,0.019055,0.961990,0.018955,6.894294e-02,1.248160e-01,163_a_q.wav
