Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.002521,0.027873,0.030977,0.000979,0.001679,0.003972,0.932000,0.116590,0.201971,0.171596,0.025902,0.033942,0.450000,0.029366,0.854737,0.115897,-2.592246e-02,-6.015956e-03,220_a_q.wav
0.072134,0.187924,0.280422,0.030170,0.039916,0.035302,0.354132,0.254693,0.446871,0.133015,0.027161,0.054838,0.083423,0.003283,0.504402,0.492315,1.749940e-01,8.945232e-03,221_a_a.wav
0.085428,0.268625,0.282682,0.038382,0.055271,0.036802,0.232810,0.243389,0.485142,0.125240,0.025571,0.048146,0.072512,0.002535,0.403796,0.593669,1.294019e-01,-7.013345e-02,221_a_p.wav
0.084116,0.153368,0.408870,0.041572,0.039078,0.020464,0.252532,0.354944,0.331877,0.158876,0.025183,0.041809,0.087310,0.001436,0.083231,0.915333,2.241824e-01,3.202759e-02,221_b_p.wav
0.015122,0.057408,0.735750,0.003625,0.008304,0.004618,0.175174,0.380759,0.317918,0.166939,0.025343,0.051290,0.057751,0.013587,0.725507,0.260906,2.223783e-01,-7.132439e-03,221_c_p.wav
0.035714,0.290129,0.223382,0.021301,0.026514,0.068943,0.334018,0.151925,0.508558,0.141241,0.023897,0.052651,0.121728,0.029905,0.720213,0.249882,5.907111e-02,4.895015e-03,222_a_q.wav
0.000108,0.002795,0.000760,0.000055,0.000129,0.000291,0.995862,0.000228,0.000019,0.001914,0.000015,0.000003,0.997821,0.031499,0.083945,0.884556,1.157798e-01,1.274880e-01,223_a_a.wav
0.000007,0.000001,0.001330,0.000000,0.000010,0.000000,0.998652,0.070170,0.501911,0.101964,0.089091,0.096591,0.140272,0.012999,0.116688,0.870313,1.523222e-01,1.662078e-01,223_a_p.wav
0.001149,0.063449,0.008146,0.000705,0.001132,0.007538,0.917881,0.000667,0.000059,0.004728,0.000020,0.000012,0.994515,0.004133,0.017805,0.978062,3.306868e-01,2.089056e-01,223_b_a.wav
0.000197,0.001431,0.011697,0.000037,0.000160,0.000103,0.986376,0.032486,0.081372,0.108370,0.016651,0.015077,0.746043,0.016345,0.119461,0.864195,1.211266e-01,1.689570e-01,223_b_p.wav
0.000124,0.000911,0.032454,0.000013,0.000123,0.000059,0.966315,0.065175,0.096115,0.167659,0.027914,0.026530,0.616607,0.009415,0.175223,0.815362,2.030697e-01,1.888669e-01,223_c_p.wav
0.000029,0.000005,0.000681,0.000002,0.000018,0.000003,0.999262,0.008805,0.007973,0.040366,0.003684,0.001830,0.937343,0.044977,0.770080,0.184943,1.030729e-01,1.854993e-01,224_a_q.wav
0.000083,0.000657,0.000653,0.000019,0.000081,0.000081,0.998426,0.010605,0.043706,0.046130,0.006964,0.005235,0.887360,0.024696,0.412576,0.562728,1.345498e-01,1.303975e-01,225_a_q.wav
0.077532,0.277739,0.168463,0.143753,0.120002,0.030499,0.182012,0.327696,0.351612,0.169490,0.028361,0.044440,0.078401,0.000480,0.018350,0.981170,3.596002e-01,-8.104807e-04,226_a_a.wav
0.002217,0.007512,0.810394,0.000388,0.002781,0.000414,0.176294,0.223211,0.459587,0.156229,0.032102,0.061113,0.067758,0.003017,0.360273,0.636710,1.684592e-01,1.826236e-02,226_a_p.wav
0.004219,0.001619,0.787761,0.000786,0.003137,0.000101,0.202378,0.328358,0.339434,0.179609,0.031042,0.058376,0.063181,0.000708,0.147981,0.851311,2.766997e-01,5.826809e-02,226_b_a.wav
0.005896,0.027122,0.932026,0.001267,0.004988,0.001839,0.026862,0.328683,0.338198,0.188100,0.030633,0.057582,0.056805,0.001099,0.337213,0.661688,2.574243e-01,1.420088e-02,226_b_p.wav
0.009613,0.029758,0.636867,0.012207,0.012817,0.001993,0.296745,0.282007,0.446072,0.130631,0.026153,0.042278,0.072859,0.000658,0.016406,0.982937,2.991883e-01,3.409509e-02,226_c_p.wav
0.006909,0.001057,0.517973,0.000626,0.002132,0.000069,0.471233,0.228725,0.461214,0.122899,0.037589,0.050999,0.098575,0.002647,0.156360,0.840994,1.716528e-01,-4.764687e-02,227_a_q.wav
0.000149,0.000023,0.059343,0.000006,0.000012,0.000001,0.940466,0.148334,0.325690,0.138708,0.170738,0.144171,0.072359,0.012372,0.423813,0.563815,1.950026e-01,1.684045e-01,228_a_q.wav
0.000393,0.005387,0.052921,0.000210,0.000442,0.000296,0.940351,0.133753,0.447319,0.149266,0.042580,0.070041,0.157041,0.001618,0.009340,0.989042,3.044958e-01,-2.323754e-02,229_a_a.wav
0.001426,0.009481,0.057260,0.001951,0.001326,0.000607,0.927949,0.153210,0.423986,0.112470,0.039284,0.067479,0.203570,0.006744,0.212325,0.780930,1.593892e-01,1.537338e-03,229_a_p.wav
0.000358,0.000326,0.027668,0.000041,0.000062,0.000016,0.971530,0.111006,0.338446,0.183053,0.073339,0.091528,0.202628,0.013324,0.234640,0.752036,1.445612e-01,-5.365821e-02,229_b_a.wav
0.006581,0.010601,0.456131,0.003023,0.003815,0.000653,0.519196,0.246897,0.423181,0.150229,0.033423,0.082083,0.064186,0.001357,0.137557,0.861086,1.698725e-01,-5.793744e-02,229_b_p.wav
0.000310,0.000026,0.029120,0.000029,0.000104,0.000001,0.970409,0.202025,0.292358,0.166519,0.064084,0.078611,0.196404,0.004015,0.069432,0.926552,2.458293e-01,3.551426e-02,229_c_a.wav
0.000507,0.002864,0.023501,0.000453,0.000543,0.000159,0.971971,0.125914,0.435000,0.109410,0.049627,0.089789,0.190261,0.007904,0.188199,0.803897,1.266460e-01,-3.133373e-02,229_c_p.wav
0.000309,0.000069,0.061981,0.000048,0.000215,0.000004,0.937375,0.173506,0.358860,0.164943,0.051676,0.068801,0.182214,0.003800,0.110572,0.885628,2.852448e-01,-3.963848e-02,229_d_a.wav
0.002635,0.001809,0.084726,0.000584,0.000877,0.000096,0.909273,0.160334,0.447783,0.107841,0.054227,0.079341,0.150473,0.005508,0.164672,0.829820,4.535178e-02,-9.264403e-02,230_a_q.wav
0.000403,0.000066,0.010762,0.000192,0.000201,0.000004,0.988372,0.088383,0.449015,0.082462,0.085210,0.070607,0.224323,0.022770,0.289537,0.687694,4.435864e-02,-9.469211e-03,231_a_q.wav
0.004313,0.010123,0.027761,0.016556,0.004507,0.000817,0.935923,0.139401,0.470479,0.084057,0.056486,0.069453,0.180124,0.006029,0.081565,0.912406,9.424036e-02,-4.148899e-02,232_a_q.wav
0.003702,0.008656,0.057155,0.004054,0.003869,0.000519,0.922045,0.171274,0.400268,0.120161,0.035129,0.036156,0.237012,0.002820,0.037777,0.959403,2.013829e-01,-3.076814e-02,233_a_q.wav
0.000055,0.000014,0.058868,0.000007,0.000028,0.000001,0.941028,0.140580,0.418339,0.250007,0.036345,0.062556,0.092172,0.038694,0.627799,0.333507,3.851087e-01,2.965756e-01,234_a_a.wav
0.002254,0.072860,0.019566,0.002078,0.002657,0.007391,0.893194,0.122660,0.258243,0.162803,0.034165,0.044223,0.377906,0.012520,0.401368,0.586112,1.345171e-01,1.141367e-01,234_a_p.wav
0.000870,0.000967,0.284535,0.000105,0.000405,0.000055,0.713063,0.133030,0.467702,0.235504,0.027648,0.045368,0.090748,0.014655,0.508736,0.476609,2.199985e-01,2.413253e-01,234_b_a.wav
0.000845,0.000759,0.331643,0.000121,0.000350,0.000048,0.666234,0.163273,0.492346,0.184678,0.029733,0.052145,0.077825,0.007945,0.241092,0.750963,3.352038e-01,2.419172e-01,234_b_p.wav
0.000163,0.000025,0.060871,0.000013,0.000118,0.000002,0.938808,0.171319,0.479497,0.146273,0.041754,0.072356,0.088801,0.009952,0.202900,0.787148,3.340893e-01,2.709405e-01,234_c_p.wav
0.000081,0.000077,0.013014,0.000005,0.000031,0.000004,0.986788,0.102269,0.351741,0.370379,0.030021,0.067179,0.078411,0.002058,0.026995,0.970947,4.031388e-01,2.792647e-01,235_a_q.wav
0.000181,0.000063,0.131745,0.000018,0.000037,0.000004,0.867952,0.110940,0.326953,0.358495,0.030946,0.115998,0.056668,0.033760,0.857829,0.108412,1.903121e-01,1.725211e-01,236_a_q.wav
0.016120,0.008902,0.663913,0.036850,0.037959,0.000626,0.235630,0.326026,0.419998,0.132289,0.028341,0.051958,0.041389,0.000764,0.018900,0.980336,2.978914e-01,7.950399e-03,237_a_p.wav
0.003630,0.002379,0.696992,0.000715,0.003048,0.000136,0.293099,0.337292,0.379964,0.145855,0.026498,0.057157,0.053232,0.001104,0.186488,0.812409,3.115622e-01,7.730448e-02,237_a_a.wav
0.868391,0.004330,0.005769,0.020495,0.095253,0.000985,0.004776,0.898450,0.074301,0.020943,0.000612,0.001508,0.004185,0.000002,0.000002,0.999996,5.978302e-01,1.718954e-02,237_b_p.wav
0.100282,0.011370,0.833774,0.003225,0.013148,0.001733,0.036468,0.576413,0.207062,0.151766,0.012285,0.031079,0.021396,0.001346,0.392899,0.605755,3.228279e-01,8.537693e-02,237_c_p.wav
0.002882,0.006928,0.022665,0.005434,0.001452,0.000491,0.960148,0.079059,0.113995,0.047301,0.019014,0.007807,0.732824,0.031118,0.084680,0.884201,-3.327289e-02,-4.769050e-02,238_a_q.wav
0.000589,0.000197,0.778366,0.000063,0.000428,0.000016,0.220340,0.224865,0.414675,0.182953,0.031739,0.087085,0.058683,0.006765,0.874297,0.118939,1.852514e-01,-4.448921e-02,239_a_a.wav
0.044533,0.210410,0.171179,0.035405,0.030896,0.035750,0.471827,0.250777,0.441229,0.134082,0.027692,0.061797,0.084424,0.008871,0.689453,0.301675,6.602057e-02,-8.282796e-02,239_a_p.wav
0.005961,0.010478,0.736855,0.000492,0.002850,0.000675,0.242688,0.212943,0.451603,0.158574,0.030010,0.073366,0.073505,0.007715,0.936378,0.055907,9.340695e-02,-5.560078e-02,239_b_p.wav
0.014637,0.095635,0.574723,0.007853,0.011335,0.014630,0.281188,0.216385,0.431398,0.182754,0.030129,0.072469,0.066867,0.009602,0.860726,0.129672,1.300263e-01,-1.010541e-01,239_c_p.wav
0.000404,0.001696,0.005663,0.000367,0.000495,0.000185,0.991190,0.089675,0.402773,0.124846,0.033221,0.054125,0.295360,0.034370,0.630991,0.334638,2.978055e-03,4.822743e-02,240_a_q.wav
0.000282,0.000151,0.030367,0.000060,0.000167,0.000009,0.968964,0.069825,0.418852,0.102832,0.046794,0.057843,0.303853,0.026714,0.104986,0.868300,1.472980e-02,3.834267e-02,241_a_a.wav
0.000243,0.000041,0.277575,0.000012,0.000128,0.000002,0.721999,0.179300,0.483535,0.130349,0.051181,0.109120,0.046516,0.010619,0.943902,0.045479,9.965740e-02,1.325533e-01,241_a_p.wav
0.000502,0.000094,0.119178,0.000066,0.000252,0.000005,0.879902,0.168280,0.480845,0.128180,0.041103,0.079836,0.101756,0.016512,0.803372,0.180117,9.536967e-02,5.543878e-02,241_b_p.wav
0.000856,0.000197,0.082537,0.000066,0.000310,0.000012,0.916022,0.126809,0.557937,0.084902,0.040698,0.060956,0.128697,0.013361,0.738054,0.248584,7.107328e-02,5.443512e-02,241_c_p.wav
0.000069,0.000026,0.006292,0.000018,0.000072,0.000006,0.993517,0.061195,0.370319,0.138332,0.045265,0.056478,0.328413,0.032984,0.815489,0.151527,-1.742113e-02,3.519092e-02,242_a_q.wav
0.026843,0.110131,0.394413,0.012788,0.017653,0.014458,0.423713,0.178551,0.516371,0.100622,0.026974,0.041209,0.136273,0.003259,0.227623,0.769118,1.286032e-01,-3.416548e-02,243_a_a.wav
0.032613,0.079088,0.641242,0.005317,0.011564,0.008230,0.221945,0.228155,0.467750,0.132447,0.030088,0.049738,0.091821,0.004317,0.740226,0.255457,1.733392e-01,5.963305e-02,243_a_p.wav
0.001817,0.000896,0.818900,0.000107,0.000927,0.000049,0.177304,0.232350,0.463166,0.137374,0.033304,0.061943,0.071864,0.012289,0.896438,0.091273,1.680054e-01,-1.281435e-02,243_b_a.wav
0.002748,0.000436,0.687919,0.000107,0.001084,0.000028,0.307678,0.260901,0.407014,0.151457,0.034519,0.057242,0.088867,0.004274,0.492160,0.503566,2.500647e-01,4.383712e-02,243_b_p.wav
0.001676,0.003878,0.621970,0.000188,0.001076,0.000218,0.370995,0.269219,0.395378,0.144160,0.030834,0.050036,0.110373,0.008979,0.513320,0.477702,2.525858e-01,6.720045e-02,243_c_p.wav
0.000424,0.009518,0.003899,0.000325,0.000417,0.001172,0.984246,0.070040,0.446460,0.149831,0.032117,0.101902,0.199650,0.022195,0.722090,0.255715,-6.618873e-02,-3.811461e-02,244_a_q.wav
0.000244,0.001343,0.006637,0.000058,0.000172,0.000156,0.991389,0.071351,0.462457,0.099433,0.041431,0.077542,0.247786,0.013502,0.790676,0.195821,-1.372765e-02,1.546896e-01,245_a_q.wav
0.003966,0.001338,0.763903,0.000226,0.001322,0.000091,0.229154,0.359278,0.348377,0.150902,0.026308,0.052834,0.062302,0.000657,0.064243,0.935099,3.279569e-01,5.553560e-02,246_a_a.wav
0.011154,0.010187,0.866798,0.001206,0.008236,0.000835,0.101584,0.379327,0.346176,0.159931,0.023121,0.051811,0.039634,0.000457,0.115490,0.884053,2.491702e-01,3.220182e-02,246_a_p.wav
0.000869,0.000195,0.195420,0.000055,0.000235,0.000013,0.803214,0.258723,0.397268,0.138594,0.040652,0.074961,0.089802,0.002687,0.196592,0.800721,2.443952e-01,1.116108e-01,246_b_a.wav
0.008532,0.003832,0.602494,0.000450,0.002119,0.000264,0.382308,0.371385,0.379763,0.128104,0.021684,0.051615,0.047449,0.001005,0.102878,0.896117,2.052922e-01,5.491400e-02,246_b_p.wav
