Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.001069,0.000300,0.098110,0.000052,0.000481,0.000034,0.899953,0.137742,0.499750,0.125630,0.032963,0.088361,0.115554,0.009049,0.528320,0.462630,1.151428e-01,7.033629e-02,15_a_q.wav
0.000547,0.000682,0.049071,0.000041,0.000287,0.000049,0.949321,0.138054,0.522590,0.095941,0.045214,0.077808,0.120393,0.032918,0.775040,0.192042,6.053562e-03,8.767163e-02,160_a_q.wav
0.005202,0.072253,0.023321,0.002111,0.002775,0.007851,0.886487,0.066456,0.527408,0.064715,0.032434,0.043596,0.265391,0.015539,0.876571,0.107890,-1.566442e-01,-1.834784e-02,160_b_q.wav
0.001992,0.012284,0.010632,0.000365,0.001204,0.001615,0.971908,0.078966,0.285673,0.118641,0.022084,0.052628,0.442009,0.007771,0.915368,0.076861,5.427587e-02,3.354028e-02,161_a_q.wav
0.000520,0.004482,0.006219,0.000281,0.000751,0.000620,0.987128,0.079757,0.580344,0.073885,0.027922,0.077826,0.160266,0.010739,0.501745,0.487516,1.075983e-01,1.669640e-01,162_a_a.wav
0.000213,0.000092,0.050852,0.000017,0.000143,0.000011,0.948672,0.087827,0.361669,0.276869,0.025969,0.053426,0.194241,0.012660,0.936462,0.050878,7.391696e-02,1.405180e-01,162_b_a.wav
0.000334,0.000535,0.012400,0.000049,0.000198,0.000066,0.986418,0.079283,0.378634,0.121463,0.034189,0.059330,0.327101,0.015580,0.812067,0.172353,7.772922e-02,1.544274e-01,162_c_a.wav
0.000386,0.000014,0.027941,0.000015,0.000127,0.000004,0.971513,0.124094,0.360318,0.226058,0.040876,0.116686,0.131969,0.019055,0.961990,0.018955,6.894294e-02,1.248160e-01,163_a_q.wav
0.000269,0.000303,0.026418,0.000012,0.000050,0.000031,0.972917,0.120534,0.390862,0.168433,0.044141,0.185968,0.090061,0.010672,0.976752,0.012577,7.548712e-02,1.128033e-01,164_a_q.wav
0.001181,0.006555,0.027969,0.000216,0.000771,0.001001,0.962308,0.133084,0.412184,0.114089,0.028293,0.059338,0.253013,0.006589,0.910492,0.082919,-2.932730e-02,5.745392e-02,165_a_q.wav
